Name,GitHubURL
"Aashutosh
                                    
                                                                                                        K",https://github.com/double-a11y
"Abe
                                    
                                                                                                        Jellinek",https://github.com/AbeJellinek
"Abin
                                    
                                                                                                        Paul",https://github.com/abinpaul1
"Adam
                                    
                                                                                                        Newman",https://github.com/anewmandev
"Adam
                                    
                                                                                                        Page",https://github.com/adampage
"Addison
                                    
                                                                                                        Phillips",https://github.com/aphillips
"Adrian
                                    
                                                                                                        Hope-Bailie",https://github.com/adrianhopebailie
"Adrian
                                    
                                                                                                        Roselli",https://github.com/aardrian
"Alain
                                    
                                                                                                        Vagner",https://github.com/AlainVagner
"Alberto
                                    
                                                                                                        Fernandez-de-Retana",https://github.com/AlbertoFDR
"Alejandra
                                    
                                                                                                        Gonzalez Beltran",https://github.com/agbeltran
"Alexander
                                    
                                                                                                        Dawson",https://github.com/AlexDawsonUK
"Alisa
                                    
                                                                                                        Bonsignore",
"Amir
                                    
                                                                                                        Sharif",https://github.com/Sh-Amir
"Anatoly
                                    
                                                                                                        Scherbakov",https://github.com/anatoly-scherbakov
"Andre
                                    
                                                                                                        Büttner",https://github.com/abuettner
"Andrea
                                    
                                                                                                        Perego",https://github.com/andrea-perego
"Andreas
                                    
                                                                                                        Kling",https://github.com/awesomekling
"Andreas
                                    
                                                                                                        Rossberg",https://github.com/rossberg
"Andreas
                                    
                                                                                                        Tai",https://github.com/andreastai
"Andrew
                                    
                                                                                                        Cunningham",
"Andrew
                                    
                                                                                                        Wright",https://github.com/awright1979-alt
"Andy
                                    
                                                                                                        Manea",
"Angela
                                    
                                                                                                        Barker",
"Annalu
                                    
                                                                                                        Waller",https://github.com/annaluwaller
"Anne
                                    
                                                                                                        Faubry",https://github.com/AnneFa
"Anthony
                                    
                                                                                                        Nadalin",https://github.com/nadalin
"Arman
                                    
                                                                                                        Aygen",
"Arthur
                                    
                                                                                                        Coleman",
"Ashley
                                    
                                                                                                        Firth",https://github.com/MrFirthy
"Ashley
                                    
                                                                                                        Sommer",https://github.com/ashleysommer
"Audrey
                                    
                                                                                                        Maniez",https://github.com/audreymaniez
"Ayşegül
                                    
                                                                                                        Yönet",https://github.com/Yonet
"Azlan
                                    
                                                                                                        Cuttilan",https://github.com/hereticsun
"Bastian
                                    
                                                                                                        Krol",https://github.com/basti1302
"Beau Morgan
                                    
                                                                                                        Murrah",https://github.com/airbr
"Becky
                                    
                                                                                                        Gibson",https://github.com/becka11y
"Ben
                                    
                                                                                                        Francis",https://github.com/benfrancis
"Benjamin
                                    
                                                                                                        Goering",https://github.com/gobengo
"Betsy
                                    
                                                                                                        Fanning",
"Bhavani Shankar
                                    
                                                                                                        Garikapati",https://github.com/gbshankar
"Bianca
                                    
                                                                                                        Berning",
"Bobby
                                    
                                                                                                        Tung",
"Brad
                                    
                                                                                                        Kemper",https://github.com/bradkemper
"Brady
                                    
                                                                                                        Duga",https://github.com/bduga
"Bram
                                    
                                                                                                        Janssens",https://github.com/bworx
"Brian
                                    
                                                                                                        Birtles",https://github.com/birtles
"Brian
                                    
                                                                                                        May",https://github.com/bmayd
"Brian
                                    
                                                                                                        Richter",https://github.com/brianorwhatever
"Brigitte
                                    
                                                                                                        Thomas",
"Bruce
                                    
                                                                                                        Bailey",https://github.com/bruce-usab
"Bruno
                                    
                                                                                                        Vavala",https://github.com/bvavala
"Bryan
                                    
                                                                                                        Garaventa",https://github.com/accdc
"Caroline
                                    
                                                                                                        Burle",https://github.com/cburle
"Cassondra
                                    
                                                                                                        Roberts",https://github.com/castastrophe
"Charith
                                    
                                                                                                        Perera",https://github.com/ngcharithperera
"Charles
                                    
                                                                                                        Lehner",https://github.com/clehner
"Chiara
                                    
                                                                                                        Cerretti",https://github.com/chiace
"Chris
                                    
                                                                                                        Adams",https://github.com/mrchrisadams
"Chris
                                    
                                                                                                        Blume",https://github.com/ProgramMax
"Chris
                                    
                                                                                                        Johnson",
"Christian
                                    
                                                                                                        Bromann",https://github.com/christian-bromann
"Christine
                                    
                                                                                                        Perey",https://github.com/cperey
"Christine
                                    
                                                                                                        Runnegar",
"Christoph
                                    
                                                                                                        Guttandin",https://github.com/chrisguttandin
"Christopher
                                    
                                                                                                        Allen",https://github.com/ChristopherA
"Christopher
                                    
                                                                                                        Lorenzo",https://github.com/chiefcll
"Cleyra
                                    
                                                                                                        Uzcategui",https://github.com/Cleyrauz
"Connor
                                    
                                                                                                        Fitzgerald",https://github.com/cwfitzgerald
"Conrad
                                    
                                                                                                        Watt",
"Cosmin
                                    
                                                                                                        Truta",https://github.com/ctruta
"Cristiano
                                    
                                                                                                        Aguzzi",https://github.com/relu91
"Crystal
                                    
                                                                                                        Preston-Watson",https://github.com/CrystalPrestonWatson
"Cybele
                                    
                                                                                                        Sack",
"Cynthia
                                    
                                                                                                        Shelly",https://github.com/cyns
"Dael
                                    
                                                                                                        Jackson",https://github.com/daelj
"Dale
                                    
                                                                                                        Rogers",https://github.com/dalerrogers
"Dan
                                    
                                                                                                        Brickley",https://github.com/danbri
"Dan
                                    
                                                                                                        Shappir",
"Dan
                                    
                                                                                                        Yamamoto",https://github.com/yamdan
"Daniel
                                    
                                                                                                        Burnett",https://github.com/burnburn
"Daniel
                                    
                                                                                                        Hardman",https://github.com/dhh1128
"Daniël
                                    
                                                                                                        Beeke",https://github.com/danielbeeke
"Dariusz
                                    
                                                                                                        Drezno",
"David
                                    
                                                                                                        Benoit",https://github.com/davidbenoit
"David
                                    
                                                                                                        Browning",https://github.com/davebrowning
"David
                                    
                                                                                                        Burns",https://github.com/AutomatedTester
"David
                                    
                                                                                                        Carlisle",https://github.com/davidcarlisle
"David
                                    
                                                                                                        Chadwick",https://github.com/David-Chadwick
"David
                                    
                                                                                                        Clarke",
"David
                                    
                                                                                                        Dabbs",https://github.com/dmdabbs
"David
                                    
                                                                                                        Farmer",https://github.com/davidfarmer
"David
                                    
                                                                                                        Fazio",https://github.com/Helixopp
"David
                                    
                                                                                                        MacDonald",https://github.com/DavidMacDonald
"Deborah
                                    
                                                                                                        Dahl",https://github.com/dadahl
"Denis
                                    
                                                                                                        Didier",
"Dennis
                                    
                                                                                                        Müller",https://github.com/Jazzpirate
"Detlev
                                    
                                                                                                        Fischer",https://github.com/detlevhfischer
"Deyan
                                    
                                                                                                        Ginev",https://github.com/dginev
"Diego
                                    
                                                                                                        Molina",https://github.com/diemol
"Dj
                                    
                                                                                                        Chase",https://github.com/u9000-Nine
"Dmitri
                                    
                                                                                                        Zagidulin",https://github.com/dmitrizagidulin
"Dominik
                                    
                                                                                                        Tomaszuk",https://github.com/domel
"Don
                                    
                                                                                                        Marti",https://github.com/dmarti
"Dr. Humera Noor
                                    
                                                                                                        Minhas",https://github.com/humeranoor
"Drummond
                                    
                                                                                                        Reed",https://github.com/talltree
"Duff
                                    
                                                                                                        Johnson",https://github.com/DuffJohnson
"Dylan
                                    
                                                                                                        Fox",https://github.com/dylan-fox
"Dörthe
                                    
                                                                                                        Arndt",https://github.com/doerthe
"E.a.
                                    
                                                                                                        Draffan",https://github.com/eadraffan
"Elaine
                                    
                                                                                                        Wooton",https://github.com/ewoogit
"Enrico
                                    
                                                                                                        Franconi",https://github.com/franconi
"Eric
                                    
                                                                                                        Hellman",
"Eric
                                    
                                                                                                        Hind",
"Eric
                                    
                                                                                                        Prud'hommeaux",https://github.com/ericprud
"Eugenio Kim
                                    
                                                                                                        Cerra",https://github.com/KimCerra
"Farshid
                                    
                                                                                                        Tavakolizadeh",https://github.com/farshidtz
"Fatma
                                    
                                                                                                        Chamekh",
"Fershad
                                    
                                                                                                        Irani",https://github.com/fershad
"Florian
                                    
                                                                                                        Rivoal",https://github.com/frivoal
"Francesco
                                    
                                                                                                        Fullone",https://github.com/fullo
"Frankie
                                    
                                                                                                        Wolf",https://github.com/frankie-wolf
"François
                                    
                                                                                                        Burra",https://github.com/FrancoisBurra
"François
                                    
                                                                                                        Remy",https://github.com/FremyCompany
"François
                                    
                                                                                                        Yergeau",
"Fredrik
                                    
                                                                                                        Fischer",https://github.com/fredrika11y
"Gabe
                                    
                                                                                                        Cohen",https://github.com/decentralgabe
"Gael
                                    
                                                                                                        Duez",https://github.com/gaelduez
"Gareth
                                    
                                                                                                        Slinn",https://github.com/garethslinn
"Garrett
                                    
                                                                                                        Johnson",
"Gary
                                    
                                                                                                        Katsevman",https://github.com/gkatsev
"George
                                    
                                                                                                        Fletcher",https://github.com/gffletch
"Gert-Jan
                                    
                                                                                                        Vercauteren",
"Giorgio
                                    
                                                                                                        Maone",
"Giovanni
                                    
                                                                                                        Corti",https://github.com/BDADAD-stack
"Gleidson
                                    
                                                                                                        Ramos",https://github.com/arctouch-gleidsonramos
"Glenn
                                    
                                                                                                        Adams",https://github.com/skynavga
"Gottfried
                                    
                                                                                                        Zimmermann",https://github.com/gozimmermann
"Graham
                                    
                                                                                                        Ritchie",https://github.com/GrahamTheDevRel
"Greg
                                    
                                                                                                        Bernstein",https://github.com/Wind4Greg
"Gregg
                                    
                                                                                                        Vanderheiden",https://github.com/GreggVan
"Guillaume
                                    
                                                                                                        Lebas",https://github.com/cdoublev
"Hadrian
                                    
                                                                                                        Zbarcea",https://github.com/hzbarcea
"Hannah
                                    
                                                                                                        Smith",https://github.com/hanopcan
"Helen
                                    
                                                                                                        Burge",https://github.com/HelenBurge
"Ines
                                    
                                                                                                        Akrap",https://github.com/ines-akrap
"Irfan
                                    
                                                                                                        Ali",https://github.com/alia11y
"Jackson
                                    
                                                                                                        Morgan",https://github.com/jaxoncreed
"Jacopo
                                    
                                                                                                        Scazzosi",https://github.com/jacoscaz
"Jake
                                    
                                                                                                        Abma",
"James
                                    
                                                                                                        Barclay",https://github.com/futureimperfect
"James
                                    
                                                                                                        Christie",
"Jamie
                                    
                                                                                                        Herrera",https://github.com/jamieherrera
"Jan
                                    
                                                                                                        McSorley",
"Jan
                                    
                                                                                                        Romann",https://github.com/JKRhb
"Janina
                                    
                                                                                                        Sajka",https://github.com/JaninaSajka
"Jason
                                    
                                                                                                        Pamental",
"Jason
                                    
                                                                                                        White",https://github.com/jasonjgw
"Jeff
                                    
                                                                                                        Kline",https://github.com/jeffkline
"Jennifer
                                    
                                                                                                        Delisi",
"Jennifer
                                    
                                                                                                        Strickland",https://github.com/jenstrickland
"Jennifer X
                                    
                                                                                                        Zhang",https://github.com/jxlz
"Jinho
                                    
                                                                                                        Bang",https://github.com/romandev
"Joe
                                    
                                                                                                        Humbert",https://github.com/jha11y
"Joel
                                    
                                                                                                        Sahleen",https://github.com/jsahleen
"Joey
                                    
                                                                                                        Stanford",https://github.com/rinchen
"Johannes
                                    
                                                                                                        Wilm",https://github.com/johanneswilm
"John
                                    
                                                                                                        Birch",
"John
                                    
                                                                                                        Foliot",https://github.com/johnfoliot
"John
                                    
                                                                                                        Hudson",https://github.com/tiroj
"John
                                    
                                                                                                        Kirkwood",https://github.com/CityMouse
"John
                                    
                                                                                                        Klensin",
"John
                                    
                                                                                                        Rochford",https://github.com/JohnRochfordUMMS
"John
                                    
                                                                                                        Simmons",https://github.com/johnsim
"Jon
                                    
                                                                                                        Gibbins",https://github.com/dotjay
"Jonathan
                                    
                                                                                                        Neal",https://github.com/jonathantneal
"Joseph
                                    
                                                                                                        Heenan",https://github.com/jogu
"Joshue
                                    
                                                                                                        O'Connor",https://github.com/joshueoconnor
"Julian
                                    
                                                                                                        Kittelson-Aldred",https://github.com/julianmka
"Justin
                                    
                                                                                                        Brookman",https://github.com/j-br0
"Kaliya
                                    
                                                                                                        Young",https://github.com/Identitywoman
"Karla
                                    
                                                                                                        Rubiano",https://github.com/kdrubianoc
"Katharina
                                    
                                                                                                        Schleidt",https://github.com/KathiSchleidt
"Kathy
                                    
                                                                                                        Eng",https://github.com/kengdoj
"Kazue
                                    
                                                                                                        Sako",
"Kazuyuki
                                    
                                                                                                        Ashimura",https://github.com/ashimura
"Keith (Dr. Keith)
                                    
                                                                                                        Newton",https://github.com/newtonsgroove
"Kelsey
                                    
                                                                                                        Gilbert",https://github.com/kdashg
"Ki-Eun
                                    
                                                                                                        Shin",https://github.com/Kieun
"Kieran
                                    
                                                                                                        Farr",https://github.com/kfarr
"Kim
                                    
                                                                                                        Duffy",https://github.com/kimdhamilton
"Kimberly
                                    
                                                                                                        Patch",
"Konstantinos
                                    
                                                                                                        Kotis",https://github.com/KotisK
"Krzysztof
                                    
                                                                                                        Modras",https://github.com/chrmod
"Kurt
                                    
                                                                                                        Cagle",https://github.com/kurtcagle
"Lars
                                    
                                                                                                        Knudsen",
"Lars G.
                                    
                                                                                                        Svensson",https://github.com/larsgsvensson
"Laura
                                    
                                                                                                        Brady",https://github.com/LauraB7
"Laura
                                    
                                                                                                        Carlson",https://github.com/lauracarlson
"Laura
                                    
                                                                                                        Miller",https://github.com/Lboniello
"Laurent
                                    
                                                                                                        Devernay Satyagraha",https://github.com/ldevernay
"Lea
                                    
                                                                                                        Verou",https://github.com/LeaVerou
"Leandro
                                    
                                                                                                        S. Guedes",https://github.com/Skooth
"Lee
                                    
                                                                                                        Mighdoll",https://github.com/mighdoll
"Lei
                                    
                                                                                                        Mu",https://github.com/NalaGinrut
"Lennart
                                    
                                                                                                        Grahl",https://github.com/lgrahl
"Leonard
                                    
                                                                                                        Daly",https://github.com/DRx3D
"Lisa
                                    
                                                                                                        Seeman-Horwitz",https://github.com/lseeman
"Livio
                                    
                                                                                                        Robaldo",https://github.com/liviorobaldo
"Lluís Alfons
                                    
                                                                                                        Ariño Martin",https://github.com/larinyo
"Lola
                                    
                                                                                                        Odelola",https://github.com/lolaodelola
"Louis
                                    
                                                                                                        Maher",https://github.com/ljmaher
"Luca
                                    
                                                                                                        Barbato",https://github.com/lu-zero
"Lukasz
                                    
                                                                                                        Olejnik",
"Luís
                                    
                                                                                                        de Sousa",https://github.com/ldesousa
"Madeleine
                                    
                                                                                                        Rothberg",https://github.com/madeleinerothberg
"Mahmood
                                    
                                                                                                        Afshari",
"Makoto
                                    
                                                                                                        Ueki",https://github.com/MakotoUeki
"Mark
                                    
                                                                                                        Miller",
"Mark
                                    
                                                                                                        Vickers",https://github.com/mavgit
"Martin
                                    
                                                                                                        Dürst",https://github.com/duerst
"Maryam
                                    
                                                                                                        Mehrnezhad",
"Mathis
                                    
                                                                                                        Brossier",https://github.com/k2d222
"Matitiahu
                                    
                                                                                                        Allouche",
