Group,Name
Accessibility Guidelines Working Group,"Aashutosh K, Adam Page, Alain Vagner, Andy Manea, Ashley Firth, Audrey Maniez, Azlan Cuttilan, Bram Janssens, Bruce Bailey, Cybele Sack, David Fazio, David MacDonald, Detlev Fischer, Dj Chase, Duff Johnson, E.a. Draffan, Frankie Wolf, Gareth Slinn, Gert-Jan Vercauteren, Gleidson Ramos, Graham Ritchie, Gregg Vanderheiden, Helen Burge, Jake Abma, Jamie Herrera, Jan McSorley, Janina Sajka, Jennifer Delisi, Joe Humbert, John Kirkwood, John Rochford, Jon Gibbins, Julian Kittelson-Aldred, Karla Rubiano, Kathy Eng, Kimberly Patch, Laura Carlson, Laura Miller, Lisa Seeman-Horwitz, Makoto Ueki, Melanie Philipp, Mike Beganyi, Mike Gifford, Mike Pluke, Phil Day, Poornima Badhan Subramanian, Rachele DiTullio, Radostina (Ina) Tsvetkova, Raja Kushalnagar, Rashmi Katakwar, Rebecca Monteleone, Rob Whitaker, Roberto Scano, Sam Ogami, Sarah Horton, Shawn Thompson, Steven Hoober, Tiffany Burtin, Tim Gravemaker, Todd Libby, Victoria Clark, Wendy Reid"
Accessible Platform Architectures Working Group,"Angela Barker, Annalu Waller, Becky Gibson, Brigitte Thomas, Chiara Cerretti, Cleyra Uzcategui, Dariusz Drezno, David Fazio, Deborah Dahl, Dylan Fox, Eric Hind, Fredrik Fischer, Gottfried Zimmermann, Irfan Ali, Jake Abma, Janina Sajka, Jason White, Jeff Kline, Jennifer Strickland, Jennifer X Zhang, John Foliot, Joshue O'Connor, Keith (Dr. Keith) Newton, Leandro S. Guedes, Lisa Seeman-Horwitz, Mark Miller, Meryl Evans, Mike Beganyi, Nadine Auer, Neha Jadhav, Neil Soiffer, Niklas Egger, Paul Grenier, Raja Kushalnagar, Russell Galvin, Sam Kanta, Sheri Byrne-Haber, Stacey Swinehart Ganderson, Susana Pallero, Todd Libby"
Accessible Rich Internet Applications Working Group,"Adam Page, Adrian Roselli, Betsy Fanning, Bryan Garaventa, Cynthia Shelly, Duff Johnson, Lola Odelola, Paul Rayius, Peter Krautzberger, William Kilian, Zachary Kinsey, Zoë Bijl"
Audio Working Group,Christoph Guttandin
Browser Testing and Tools Working Group,"Christian Bromann, David Burns, Diego Molina, Krzysztof Modras, Wilhelm Joys Andersen"
Cascading Style Sheets (CSS) Working Group,"Brad Kemper, Brian Birtles, Cassondra Roberts, Dael Jackson, Florian Rivoal, François Remy, Guillaume Lebas, Jonathan Neal, Lea Verou, Miriam Suzanne, Paul Grenier, Peter Linss, Romain Menke, Samuel Weinig, Sebastian Zartner, Vladimir Levantovsky"
Data Shapes Working Group,"Ashley Sommer, Daniël Beeke, Kurt Cagle, Livio Robaldo, Matt Goldberg, Ognjen Savkovic, Scott Henninger"
Dataset Exchange Working Group,"Alejandra Gonzalez Beltran, Andrea Perego, Caroline Burle, David Browning, Fatma Chamekh, Lars G. Svensson, Pavlina Fragkou, Peter Winstanley, Riccardo Albertoni"
Decentralized Identifier Working Group,"Benjamin Goering, Charles Lehner, Christopher Allen, Daniel Burnett, Daniel Hardman, Dmitri Zagidulin, Drummond Reed, Gabe Cohen, Kaliya Young, Kim Duffy, Otto Mora, Shaun Conway, Stephen Curran"
Devices and Sensors Working Group,"Christine Perey, Lars Knudsen, Lukasz Olejnik, Maryam Mehrnezhad, Rick Waldron"
